> Croatia
18.2381 45.7739
18.24 45.7706
18.2428 45.7683
18.2464 45.7661
18.2506 45.7644
18.2553 45.7636
18.2608 45.7625
18.2669 45.7625
18.2733 45.7619
18.2775 45.7597
18.2794 45.7594
18.2783 45.7597
18.2811 45.7606
18.2853 45.7622
18.2911 45.7619
18.2972 45.7619
18.3028 45.7608
18.3086 45.7597
18.3131 45.7581
18.3186 45.7569
18.3244 45.7561
18.3294 45.7547
18.3358 45.7542
18.3408 45.755
18.3439 45.7575
18.3464 45.7606
18.3483 45.7639
18.3517 45.7664
18.3558 45.7678
18.3611 45.7683
18.3678 45.7678
18.3733 45.7667
18.3792 45.7658
18.3842 45.7644
18.3892 45.7631
18.3928 45.7608
18.3964 45.7583
18.3978 45.7553
18.3997 45.7522
18.4025 45.7497
18.4075 45.7483
18.4136 45.7483
18.4189 45.7486
18.4242 45.7492
18.4292 45.75
18.4339 45.7508
18.4386 45.7519
18.4433 45.7528
18.4467 45.7553
18.4486 45.7583
18.45 45.7628
18.4514 45.7667
18.4553 45.7686
18.46 45.7697
18.4653 45.77
18.4708 45.7706
18.4744 45.7725
18.4775 45.775
18.4789 45.7783
18.4808 45.7819
18.4822 45.7855
18.4844 45.7894
18.4858 45.7936
18.4878 45.7969
18.4914 45.7989
18.4964 45.8
18.5006 45.7978
18.5042 45.7958
18.507 45.7933
18.5106 45.7911
18.5147 45.7894
18.5203 45.7897
18.5239 45.7917
18.5269 45.7942
18.53 45.7964
18.535 45.7975
18.5408 45.7975
18.5467 45.7975
18.5517 45.7983
18.5558 45.7997
18.5594 45.8017
18.5611 45.8058
18.5653 45.8072
18.5711 45.8069
18.5728 45.8111
18.5725 45.8142
18.5747 45.8178
18.5783 45.8194
18.5825 45.8208
18.5875 45.8219
18.5917 45.8236
18.5953 45.8256
18.5986 45.8281
18.6017 45.8303
18.6036 45.8339
18.6056 45.8372
18.6078 45.8408
18.6103 45.8439
18.6147 45.8458
18.62 45.8461
18.6242 45.8475
18.6256 45.8508
18.6242 45.8542
18.6222 45.8569
18.6228 45.8603
18.6256 45.8636
18.6275 45.8672
18.6283 45.8717
18.6292 45.8761
18.6317 45.878
18.6367 45.8767
18.6417 45.8753
18.6458 45.8767
18.6492 45.8794
18.6492 45.8836
18.6481 45.8869
18.6467 45.8903
18.6453 45.8936
18.6472 45.8969
18.6511 45.8989
18.6553 45.9006
18.6594 45.9019
18.6617 45.9053
18.6617 45.9094
18.6611 45.9133
18.6631 45.9167
18.6675 45.9183
18.6722 45.9192
18.6778 45.9194
18.6825 45.9206
18.6878 45.9208
18.6933 45.9211
18.6992 45.9211
18.7056 45.9206
18.7108 45.9192
18.7128 45.9161
18.7156 45.9136
18.7192 45.9114
18.7233 45.9094
18.7283 45.908
18.7342 45.9072
18.7392 45.9058
18.745 45.9047
18.7508 45.9036
18.755 45.9019
18.7594 45.9
18.7628 45.8978
18.7672 45.8961
18.7736 45.8956
18.78 45.8947
18.7853 45.8933
18.7894 45.8917
18.7936 45.8897
18.7972 45.8875
18.8031 45.8867
18.8072 45.8881
18.8086 45.892
18.8081 45.8958
18.8075 45.8994
18.8075 45.9028
18.8092 45.9067
18.8122 45.9092
18.8153 45.9117
18.8186 45.9142
18.8206 45.9178
18.8231 45.9206
18.8258 45.9181
18.8275 45.9156
18.8239 45.9214
18.8261 45.9186
18.8281 45.9156
18.8314 45.9128
18.8358 45.9111
18.8417 45.9108
18.838751 45.907417
18.837805 45.902111
18.840221 45.894249
18.845638 45.887806
18.852194 45.878944
18.857695 45.870193
18.859694 45.864613
18.863138 45.858250
18.866888 45.851891
18.874916 45.841972
18.882944 45.832085
18.888056 45.827446
18.894167 45.820835
18.900778 45.815193
18.906000 45.809891
18.913111 45.803333
18.921972 45.797890
18.933584 45.791973
18.940111 45.788612
18.948833 45.782001
18.952499 45.778862
18.955444 45.776333
18.960583 45.769638
18.963528 45.765221
18.965944 45.761585
18.968166 45.754860
18.968750 45.753082
18.968721 45.752693
18.967861 45.741249
18.965555 45.734779
18.963888 45.730083
18.962250 45.727222
18.960861 45.724777
18.955528 45.715805
18.953333 45.709641
18.959944 45.696362
18.967333 45.691696
18.973305 45.683918
18.976194 45.679028
18.976889 45.677860
18.979389 45.673637
18.977528 45.663555
18.975945 45.660473
18.973722 45.656082
18.969444 45.647694
18.959223 45.638527
18.952084 45.635693
18.950306 45.634998
18.943056 45.632973
18.938389 45.631668
18.930611 45.629166
18.924694 45.623585
18.922611 45.619946
18.919167 45.613888
18.919722 45.609722
18.920111 45.606609
18.921223 45.598415
18.918751 45.596584
18.912806 45.592167
18.907583 45.586418
18.905945 45.578918
18.906221 45.578083
18.908861 45.569721
18.915916 45.561359
18.926695 45.554222
18.936388 45.549526
18.949722 45.544693
18.957640 45.542610
18.965166 45.540722
18.977472 45.541752
18.991417 45.544556
19.002388 45.547585
19.013834 45.551556
19.025028 45.553196
19.040001 45.552166
19.046749 45.549057
19.059361 45.544613
19.069389 45.539696
19.076250 45.536140
19.078472 45.534973
19.084528 45.531776
19.093945 45.526222
19.094418 45.525944
19.103251 45.518391
19.106777 45.513168
19.107166 45.503807
19.107195 45.503082
19.102722 45.494862
19.094973 45.490307
19.088167 45.486027
19.080416 45.483528
19.066389 45.481194
19.055056 45.484138
19.046112 45.488445
19.037527 45.490723
19.026945 45.491196
19.017084 45.487583
19.013277 45.481277
19.009611 45.468304
