> -Z0
30.040277 59.913193
30.039167 59.913193
30.039167 59.913471
30.037500 59.913471
30.037500 59.913750
30.036386 59.913750
30.036386 59.914028
30.034721 59.914028
30.034721 59.914307
30.033611 59.914307
30.033611 59.914585
30.031944 59.914585
30.031944 59.914860
30.030832 59.914860
30.030832 59.915138
30.029167 59.915138
30.029167 59.915417
30.028055 59.915417
30.028055 59.915695
30.026945 59.915695
30.026945 59.915974
30.025278 59.915974
30.025278 59.916248
30.024166 59.916248
30.024166 59.916527
30.022501 59.916527
30.022497 59.916805
30.021387 59.916805
30.021387 59.917084
30.019722 59.917084
30.019722 59.917362
30.018612 59.917362
30.018612 59.917641
30.016945 59.917641
30.016945 59.917915
30.015833 59.917915
30.015833 59.918194
30.014166 59.918194
30.014166 59.918472
30.013056 59.918472
30.013056 59.918751
30.011391 59.918751
30.011391 59.919029
30.010281 59.919029
30.010281 59.919304
30.009169 59.919304
30.009169 59.919582
30.007500 59.919582
30.007500 59.919861
30.006390 59.919861
30.006390 59.920139
30.004723 59.920139
30.004723 59.920418
30.003611 59.920418
30.003611 59.920696
30.001944 59.920696
30.001944 59.920971
30.000834 59.920971
30.000834 59.921249
30.000278 59.921249
29.999166 59.921249
29.999166 59.921528
29.998056 59.921528
29.998056 59.921806
29.996387 59.921806
29.996387 59.922085
29.995275 59.922085
29.995275 59.922359
29.993610 59.922359
29.993610 59.922638
29.992500 59.922638
29.992500 59.922916
29.991388 59.922916
29.991388 59.923195
29.989723 59.923195
29.989721 59.923473
29.988611 59.923473
29.988611 59.923752
29.986944 59.923752
29.986944 59.924026
29.985834 59.924026
29.985834 59.924305
29.984167 59.924305
29.984167 59.924583
29.983055 59.924583
29.983055 59.924862
29.981386 59.924862
29.981386 59.925140
29.980276 59.925140
29.980276 59.925415
29.978611 59.925415
29.978611 59.925694
29.977501 59.925694
29.977501 59.925972
29.976389 59.925972
29.976389 59.926250
29.974724 59.926250
29.974724 59.926529
29.973612 59.926529
29.973612 59.926807
29.971945 59.926807
29.971945 59.927082
29.970833 59.927082
29.970833 59.927361
29.969168 59.927361
29.969168 59.927639
29.968058 59.927639
29.968058 59.927917
29.966389 59.927917
29.966389 59.928196
